utc,family,ticker,side,target,ref,qual_score,qual_size,levels,book_depth,share_at_20
2026-09-07T08:12:53+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,no,300,0.6900,2105.00,2105.00,1,33586.70,0.00941
2026-09-07T08:12:53+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,yes,300,0.0150,140.02,387.82,5,16689.42,0.12498
2026-09-07T08:12:53+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,no,300,0.9810,143.78,504.50,5,45077.12,0.12211
2026-09-07T08:12:53+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,yes,300,0.9910,400.00,650.00,2,11344.14,0.04762
2026-09-07T08:12:53+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,no,300,0.0050,699.33,2163.32,5,129126.06,0.02780
2026-09-07T08:12:53+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,yes,1000,,0.00,3.00,0,3.00,0.00000
2026-09-07T08:12:53+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,no,1000,0.9100,324.00,1374.00,4,4071.59,0.05814
2026-09-07T08:13:54+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,yes,300,0.4400,210.89,318.00,5,12498.44,0.08662
2026-09-07T08:13:54+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,no,300,0.5000,71.84,329.80,11,14247.84,0.21776
2026-09-07T08:13:54+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,yes,300,,0.00,0.00,0,0.00,0.00000
2026-09-07T08:13:54+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,no,300,0.9900,571.15,571.15,1,14467.23,0.03383
2026-09-07T08:13:54+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,yes,300,0.6400,1617.17,1617.17,1,31877.75,0.01222
2026-09-07T08:13:54+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,no,300,0.3500,2373.00,2373.00,1,30242.23,0.00836
2026-09-07T08:13:54+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,yes,300,0.0030,480.00,885.00,2,1519.00,0.04000
2026-09-07T08:13:54+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,no,300,0.9960,2091.00,2091.00,1,37096.79,0.00947
2026-09-07T08:13:54+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,yes,300,0.9980,9721.46,9721.46,1,26293.69,0.00205
2026-09-07T08:13:54+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,no,300,,0.00,4.00,0,4.00,0.00000
2026-09-07T08:13:54+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,yes,1000,,0.00,3.00,0,3.00,0.00000
2026-09-07T08:13:54+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,no,1000,0.9100,262.00,1077.59,10,3071.59,0.07092
2026-09-07T08:14:55+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,yes,300,,0.00,0.00,0,0.00,0.00000
2026-09-07T08:14:55+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070415-15,no,300,0.9900,1541.49,1541.49,1,6812.38,0.01281
2026-09-07T08:14:55+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,yes,300,,0.00,0.00,0,0.00,0.00000
2026-09-07T08:14:55+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070415-15,no,300,0.9900,241.84,308.95,5,6320.63,0.07638
2026-09-07T08:14:55+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,yes,300,0.6800,126.05,303.00,5,12486.28,0.13694
2026-09-07T08:14:55+00:00,KXSILVER15M,KXSILVER15M-26SEP070415-15,no,300,0.2700,118.11,337.00,5,7399.42,0.14481
2026-09-07T08:14:55+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,yes,300,,0.00,138.51,0,138.51,0.00000
2026-09-07T08:14:55+00:00,KXWTI15M,KXWTI15M-26SEP070415-15,no,300,0.9940,247.44,584.94,2,15856.71,0.07478
2026-09-07T08:14:55+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,yes,300,0.9990,4437.11,4437.11,1,67195.22,0.00449
2026-09-07T08:14:55+00:00,KXGOLD15M,KXGOLD15M-26SEP070415-15,no,300,,0.00,0.00,0,0.00,0.00000
2026-09-07T08:14:55+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,yes,1000,,0.00,0.00,0,0.00,0.00000
2026-09-07T08:14:55+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070415-XRP,no,1000,0.9600,331.87,1001.00,8,3338.59,0.05684
2026-09-07T08:15:56+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070430-30,yes,300,0.4200,93.50,2156.00,3,16360.23,0.17621
2026-09-07T08:15:56+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070430-30,no,300,0.5500,727.91,2317.91,3,15561.66,0.02674
2026-09-07T08:15:56+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070430-30,yes,300,0.5500,398.50,668.01,4,13689.41,0.04779
2026-09-07T08:15:56+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070430-30,no,300,0.4100,295.25,480.50,2,13417.93,0.06344
2026-09-07T08:15:56+00:00,KXSILVER15M,KXSILVER15M-26SEP070430-30,yes,300,0.6100,2180.00,2180.00,1,49267.68,0.00909
2026-09-07T08:15:56+00:00,KXSILVER15M,KXSILVER15M-26SEP070430-30,no,300,0.3800,338.12,2245.00,3,49292.97,0.05585
2026-09-07T08:15:56+00:00,KXWTI15M,KXWTI15M-26SEP070430-30,yes,300,0.4700,451.06,451.06,1,45942.19,0.04246
2026-09-07T08:15:56+00:00,KXWTI15M,KXWTI15M-26SEP070430-30,no,300,0.5200,213.74,640.74,3,44204.04,0.08556
2026-09-07T08:15:56+00:00,KXGOLD15M,KXGOLD15M-26SEP070430-30,yes,300,0.6400,4226.95,4226.95,1,210195.17,0.00471
2026-09-07T08:15:56+00:00,KXGOLD15M,KXGOLD15M-26SEP070430-30,no,300,0.3500,910.74,910.74,1,207011.12,0.02149
2026-09-07T08:15:56+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070430-XRP,yes,1000,0.2300,1003.00,1003.00,2,5726.00,0.01955
2026-09-07T08:15:56+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070430-XRP,no,1000,0.6300,365.00,1240.00,3,7073.00,0.05195
2026-09-07T08:16:58+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070430-30,yes,300,0.3100,628.00,2226.00,5,16972.10,0.03086
2026-09-07T08:16:58+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070430-30,no,300,0.6300,642.70,2232.70,5,15573.46,0.03018
2026-09-07T08:16:58+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070430-30,yes,300,0.6100,468.02,814.04,3,15934.44,0.04098
2026-09-07T08:16:58+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070430-30,no,300,0.3500,1137.00,2157.00,2,15804.71,0.01729
2026-09-07T08:16:58+00:00,KXSILVER15M,KXSILVER15M-26SEP070430-30,yes,300,0.7800,2021.87,2021.87,1,47517.22,0.00979
2026-09-07T08:16:58+00:00,KXSILVER15M,KXSILVER15M-26SEP070430-30,no,300,0.2100,359.56,2450.00,4,47977.80,0.05269
2026-09-07T08:16:58+00:00,KXWTI15M,KXWTI15M-26SEP070430-30,yes,300,0.4300,2406.66,2406.66,1,47631.55,0.00824
2026-09-07T08:16:58+00:00,KXWTI15M,KXWTI15M-26SEP070430-30,no,300,0.5400,1350.92,2430.92,4,45345.22,0.01459
2026-09-07T08:16:58+00:00,KXGOLD15M,KXGOLD15M-26SEP070430-30,yes,300,0.6900,4790.00,4790.00,1,210487.11,0.00416
2026-09-07T08:16:58+00:00,KXGOLD15M,KXGOLD15M-26SEP070430-30,no,300,0.3000,1088.50,1972.00,2,209398.35,0.01804
2026-09-07T08:16:58+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070430-XRP,yes,1000,0.4200,251.88,1480.00,4,6566.00,0.07356
2026-09-07T08:16:58+00:00,KXCRYPTOLEAD15M,KXCRYPTOLEAD15M-26SEP070430-XRP,no,1000,0.4900,1000.00,1000.00,1,6953.00,0.01961
2026-09-07T08:17:59+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070430-30,yes,300,0.4100,212.25,2192.00,3,15390.60,0.08611
2026-09-07T08:17:59+00:00,KXNATGAS15M,KXNATGAS15M-26SEP070430-30,no,300,0.5400,616.35,2194.70,3,16875.01,0.03143
2026-09-07T08:17:59+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070430-30,yes,300,0.5900,493.24,921.38,3,14581.27,0.03897
2026-09-07T08:17:59+00:00,KXCOPPER15M,KXCOPPER15M-26SEP070430-30,no,300,0.3800,227.65,499.59,2,13637.52,0.08076
2026-09-07T08:17:59+00:00,KXSILVER15M,KXSILVER15M-26SEP070430-30,yes,300,0.8000,2051.87,2051.87,1,49795.32,0.00965
2026-09-07T08:17:59+00:00,KXSILVER15M,KXSILVER15M-26SEP070430-30,no,300,0.1900,307.67,369.02,3,47273.72,0.06104
